"RK",TIERS,"PLAYER NAME",TEAM,"BYE WEEK","UPSIDE ","BUST ","SOS SEASON","ECR VS. ADP"
"47",6,"Jayden Reed",GB,"11","Coach Upside rating","Coach Bust rating","5 out of 5 stars","-6"
"48",6,"Khalil Shakir",BUF,"7","Coach Upside rating","Coach Bust rating","4 out of 5 stars","+5"
"49",6,"Quentin Johnston",LAC,"7","Coach Upside rating","Coach Bust rating","2 out of 5 stars","-7"
"50",6,"Jayden Higgins",HOU,"8","Coach Upside rating","Coach Bust rating","3 out of 5 stars","+2"
"51",6,"KC Concepcion",CLE,"11","Coach Upside rating","Coach Bust rating","3 out of 5 stars","+3"
"52",6,"Xavier Worthy",KC,"5","Coach Upside rating","Coach Bust rating","2 out of 5 stars","-3"
"53",6,"Romeo Doubs",NE,"11","Coach Upside rating","Coach Bust rating","2 out of 5 stars","-3"
"54",6,"Jalen Coker",CAR,"5","Coach Upside rating","Coach Bust rating","2 out of 5 stars","+1"
"55",7,"Matthew Golden",GB,"11","Coach Upside rating","Coach Bust rating","5 out of 5 stars","-4"
"56",7,"Jerry Jeudy",CLE,"11","Coach Upside rating","Coach Bust rating","3 out of 5 stars","+13"
"57",7,"Rashid Shaheed",SEA,"11","Coach Upside rating","Coach Bust rating","3 out of 5 stars","+1"
"58",7,"Denzel Boston",CLE,"11","Coach Upside rating","Coach Bust rating","3 out of 5 stars","+7"
"59",7,"Travis Hunter",JAC,"7","Coach Upside rating","Coach Bust rating","4 out of 5 stars","+4"
"60",7,"Deebo Samuel Sr.",FA,"-","Coach Upside rating–No rating available","Coach Bust rating–No rating available","-","+2"
"61",7,"Omar Cooper Jr.",NYJ,"13","Coach Upside rating","Coach Bust rating","4 out of 5 stars","0"
"62",7,"Jauan Jennings",MIN,"6","Coach Upside rating","Coach Bust rating","5 out of 5 stars","-3"
"63",7,"Adonai Mitchell",NYJ,"13","Coach Upside rating","Coach Bust rating","4 out of 5 stars","+17"
"64",7,"Brandon Aiyuk",SF,"8","Coach Upside rating","Coach Bust rating","2 out of 5 stars","+7"
"65",7,"Jalen McMillan",TB,"10","Coach Upside rating","Coach Bust rating","4 out of 5 stars","-8"
"66",7,"Kayshon Boutte",NE,"11","Coach Upside rating","Coach Bust rating","2 out of 5 stars","+10"
"67",7,"Stefon Diggs",FA,"-","Coach Upside rating","Coach Bust rating","-","-11"
"68",7,"Tre' Harris",LAC,"7","Coach Upside rating","Coach Bust rating","2 out of 5 stars","0"
"69",7,"Troy Franklin",DEN,"10","Coach Upside rating","Coach Bust rating","2 out of 5 stars","+15"
"70",7,"Tre Tucker",LV,"13","Coach Upside rating","Coach Bust rating","2 out of 5 stars","-10"
"71",7,"Jaylin Noel",HOU,"8","Coach Upside rating","Coach Bust rating","3 out of 5 stars","+54"
"72",8,"Pat Bryant",DEN,"10","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars","+24"
"73",8,"Ryan Flournoy",DAL,"14","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars","-7"
"74",8,"Calvin Ridley",TEN,"9","Coach Upside rating","Coach Bust rating","3 out of 5 stars","-1"
"75",8,"Isaac TeSlaa",DET,"6","Coach Upside rating","Coach Bust rating","4 out of 5 stars","-5"
"76",8,"Darnell Mooney",NYG,"8","Coach Upside rating–No rating available","Coach Bust rating–No rating available","4 out of 5 stars","-2"
"77",8,"Chimere Dike",TEN,"9","Coach Upside rating","Coach Bust rating","3 out of 5 stars","+13"
"78",8,"Dontayvion Wicks",PHI,"10","Coach Upside rating–No rating available","Coach Bust rating–No rating available","4 out of 5 stars","+9"
"79",8,"Elic Ayomanor",TEN,"9","Coach Upside rating–No rating available","Coach Bust rating–No rating available","3 out of 5 stars","+33"
"80",8,"Tyreek Hill",FA,"-","Coach Upside rating–No rating available","Coach Bust rating–No rating available","-","+6"
